# Time: 2014-02-20 08:09:04
# Hour of Day (GLOW): 8.15111111111
# Hour of Day (DMSP): 8.15111111111
# Geographic Latitude: 79.9446182251
# Geographic Longitude: 73.5646972656
# Magnetic Latitude: 75.4594650269
# Magnetic Local Time: 13.5052032471
# LBH Short Radiance [R]: 878.121582031
# LBH Long Radiance [R]: 741.05456543
# SSJ Electron Energy Flux [mW/m^2]: 1.70902640355
# SSJ Ion Energy Flux [mW/m^2]: 0.0
# z,ped,hall,ionrate,O,O2,N2,NO,O+,O2+,NO+,N(2D),Ne(in),Ne(out),Tn,Ti,Te,3371A,4278A,5200A,5577A,6300A,7320A,10400A,3466A,7774A,8446A,3726A,LBH,1356,1493,1304
9.000000000000000000e+01,9.847009323493693955e-07,8.662286745675373822e-06,5.278431415557861328e+00,1.668848844800000000e+11,1.136182532505600000e+13,4.566147085107200000e+13,2.726257920000000000e+08,6.417023001858979114e-08,3.826236352324485779e-02,3.017559570312500000e+03,5.873582139611244202e-02,1.533288452148437500e+03,3.017597900390625000e+03,2.053484497070312500e+02,2.053484497070312500e+02,2.053484497070312500e+02,1.243094175151782110e-05,1.448785224056337029e-05,6.284732307904050685e-07,1.386911026202142239e-04,1.172936777038557921e-06,1.160328777505270637e-10,7.508424459956586361e-07,5.132340774594013055e-08,2.064174076110703027e-08,1.002209302214396303e-07,4.086068302829905241e-14,8.815289766062051058e-05,4.574263101631004247e-08,2.258923586850869469e-06,2.672988159702072153e-07
9.100000000000000000e+01,1.016231522044108715e-06,1.028319002216449007e-05,7.545385360717773438e+00,2.076839608320000000e+11,9.833237446656000000e+12,3.974953225420800000e+13,2.726257920000000000e+08,1.033786531934310915e-07,1.581946462392807007e-01,3.569515136718750000e+03,9.693585336208343506e-02,2.482308593750000000e+03,3.569673339843750000e+03,2.002667388916015625e+02,2.002667388916015625e+02,2.002667388916015625e+02,1.659590088820550591e-05,1.932496707013342530e-05,1.037213564814010169e-06,2.528603654354810715e-04,1.905507019728247542e-06,1.783835579249881675e-10,1.111576239054556936e-06,7.598116269491583807e-08,3.935736359039765375e-08,1.909259452759215492e-07,6.307609735087607583e-14,1.176833247882314026e-04,8.722496147584024584e-08,3.045297489734366536e-06,5.083503538116929121e-07
9.200000000000000000e+01,1.074401438927452546e-06,1.246157080458942801e-05,1.127940559387207031e+01,2.493543546880000000e+11,8.488953577472000000e+12,3.453428642611200000e+13,2.726257920000000000e+08,1.885394453893241007e-07,5.699657201766967773e-01,4.313597167968750000e+03,1.676808446645736694e-01,3.752938232421875000e+03,4.314166992187500000e+03,1.948673248291015625e+02,1.948673248291015625e+02,1.948673248291015625e+02,2.482390118530020118e-05,2.888013477786444128e-05,1.794185095604916569e-06,4.843716160394251347e-04,3.240513706259662285e-06,3.082893107464457216e-10,1.833582246035803109e-06,1.253334573902975535e-07,8.127488371201252448e-08,3.939414909837068990e-07,1.095766340619870605e-13,1.760094892233610153e-04,1.801393523237493355e-07,4.596885446517262608e-06,1.047190380631946027e-06
9.300000000000000000e+01,1.146907834481680766e-06,1.515753228886751458e-05,1.701480865478515625e+01,2.891178311680000000e+11,7.294527995904000000e+12,2.988218463027200000e+13,2.726257920000000000e+08,3.663083418814494507e-07,1.704964160919189453e+00,5.234827636718750000e+03,2.939760982990264893e-01,5.328282714843750000e+03,5.236532714843750000e+03,1.895079803466796875e+02,1.895079803466796875e+02,1.895079803466796875e+02,3.911928433808498085e-05,4.547171920421533287e-05,3.145543814753182232e-06,9.433848899789154530e-04,5.584295195149024948e-06,5.642873945888027265e-10,3.179642135364701971e-06,2.173426167928482755e-07,1.714396375973592512e-07,8.304654102175845765e-07,2.018332332862082801e-13,2.772542065940797329e-04,3.800051047164743068e-07,7.288292636076221243e-06,2.205100145147298463e-06
9.400000000000000000e+01,1.227030452355393209e-06,1.830204382713418454e-05,2.529330635070800781e+01,3.241594388480000000e+11,6.228590198784000000e+12,2.571084234752000000e+13,2.726257920000000000e+08,7.167564035626128316e-07,4.255262851715087891e+00,6.308376953125000000e+03,5.109625458717346191e-01,7.143206542968750000e+03,6.312632324218750000e+03,1.844774932861328125e+02,1.844774932861328125e+02,1.844774932861328125e+02,6.139199831523001194e-05,7.129880395950749516e-05,5.467300070449709892e-06,1.820372068323194981e-03,9.548957677907310426e-06,1.035636465473999124e-09,5.491426236403640360e-06,3.753632995540101547e-07,3.501948810935573420e-07,1.695695232228899840e-06,3.731747441441946034e-13,4.347896028775721788e-04,7.762511131659266539e-07,1.147132570622488856e-05,4.499676833802368492e-06
9.500000000000000000e+01,1.314988708145392593e-06,2.181834315706510097e-05,3.660031127929687500e+01,3.520445808640000000e+11,5.278128930816000000e+12,2.197098699161600000e+13,2.726257920000000000e+08,1.395284016325604171e-06,8.989118576049804688e+00,7.506985351562500000e+03,8.708047270774841309e-01,9.091806640625000000e+03,7.515974609375000000e+03,1.800053863525390625e+02,1.800053863525390625e+02,1.800053863525390625e+02,9.482815221417695284e-05,1.100318550015799701e-04,9.317608601122628897e-06,3.414954990148544312e-03,1.603800410521216691e-05,1.884919331729406622e-09,9.350933396490290761e-06,6.391776992131781299e-07,6.865639647912757937e-07,3.323458713566651568e-06,6.849677617638827432e-13,6.708787404932081699e-04,1.521867034171009436e-06,1.769560367392841727e-05,8.816897206997964531e-06
9.600000000000000000e+01,1.415830979567545000e-06,2.559976746852044016e-05,5.117112350463867188e+01,3.710552637440000000e+11,4.434894520320000000e+12,1.863240699084800000e+13,2.726257920000000000e+08,3.062325504288310185e-06,1.633652305603027344e+01,8.793641601562500000e+03,1.445649147033691406e+00,1.104557519531250000e+04,8.809978515625000000e+03,1.762775878906250000e+02,1.762775878906250000e+02,1.762775878906250000e+02,1.636875676922500134e-04,1.897841138998046517e-04,1.546844578115269542e-05,6.169641390442848206e-03,2.629907430673483759e-05,3.855518571072025225e-09,1.785494714567903429e-05,1.220464810103294440e-06,1.470710003559361212e-06,7.116433607734506950e-06,1.414480295044984182e-12,1.156089827418327332e-03,3.259848199377302080e-06,3.002874291269108653e-05,1.888685437734238803e-05
9.700000000000000000e+01,1.539702338959614281e-06,2.952153045043814927e-05,6.885916900634765625e+01,3.803792015360000000e+11,3.692889374720000000e+12,1.567414865100800000e+13,2.726257920000000000e+08,1.144028374255867675e-05,2.602253532409667969e+01,1.012597656250000000e+04,2.330561161041259766e+00,1.287668945312500000e+04,1.015199902343750000e+04,1.734544677734375000e+02,1.734544677734375000e+02,1.734544677734375000e+02,4.772188258357346058e-04,5.530597409233450890e-04,2.493700230843387544e-05,1.105554495006799698e-02,4.200192051939666271e-05,1.337111932286916272e-08,5.791090370621532202e-05,3.958467004849808291e-06,5.215569217398297042e-06,2.522356044210027903e-05,4.958030947604941119e-12,3.361155744642019272e-03,1.155830068455543369e-05,8.363663800992071629e-05,6.705131818307563663e-05
9.800000000000000000e+01,1.702364443190163001e-06,3.346751691424287856e-05,8.913711547851562500e+01,3.801154519040000000e+11,3.046655655936000000e+12,1.307763015680000000e+13,2.726257920000000000e+08,7.312843808904290199e-05,3.734685134887695312e+01,1.146526660156250000e+04,3.650161504745483398e+00,1.447963671875000000e+04,1.150261425781250000e+04,1.716903533935546875e+02,1.716903533935546875e+02,1.716903533935546875e+02,2.349672606214880943e-03,2.720894990488886833e-03,3.905673293047584593e-05,2.237287163734436035e-02,6.555660365847870708e-05,7.934698942335671745e-08,3.193273732904344797e-04,2.182743810408283025e-05,3.069376907660625875e-05,1.484205567976459861e-04,2.975678731198527771e-11,1.650249771773815155e-02,6.801155541324988008e-05,3.992910205852240324e-04,3.951363032683730125e-04
9.900000000000000000e+01,1.928093752212589607e-06,3.740334068424999714e-05,1.115094680786132812e+02,3.711279104000000000e+11,2.490307969024000000e+12,1.082271255756800000e+13,2.726257920000000000e+08,4.734556423500180244e-04,5.090277481079101562e+01,1.279982031250000000e+04,5.594251632690429688e+00,1.578584179687500000e+04,1.285072558593750000e+04,1.711550598144531250e+02,1.711550598144531250e+02,1.711550598144531250e+02,1.157091278582811356e-02,1.338016241788864136e-02,5.985851021250709891e-05,5.979803204536437988e-02,1.017913600662723184e-04,4.772027750732377172e-07,1.772147254087030888e-03,1.211341223097406328e-04,1.779065496521070600e-04,8.603697642683982849e-04,1.810732536133841108e-10,8.105097711086273193e-02,3.941832401324063540e-04,1.947469660080969334e-03,2.292575780302286148e-03
